Vivado Simulator 2018.3
Time resolution is 1 ps
WARNING: Too many words specified in data file E:/learn/cpuhomework/finallab/Pipeline50/pipeline-tester-py/code.txt
WARNING: Too many words specified in data file E:/learn/cpuhomework/finallab/Pipeline50/pipeline-tester-py/code.txt
@00003000: $29 <= 00001000
@00003008: $ 3 <= 00000000
@00003028: $ 2 <= 00000000
@0000302c: $ 2 <= 00000000
@00003030: $ 3 <= 00000001
@00003038: $ 4 <= 00002710
@0000303c: $ 3 <= 00000000
@00003040: $ 3 <= 00000000
@00003044: $ 2 <= 00000001
@00003040: $ 3 <= 00000001
@00003044: $ 2 <= 00000002
@00003040: $ 3 <= 00000003
@00003044: $ 2 <= 00000003
@00003040: $ 3 <= 00000006
@00003044: $ 2 <= 00000004
@00003040: $ 3 <= 0000000a
@00003044: $ 2 <= 00000005
@00003040: $ 3 <= 0000000f
@00003044: $ 2 <= 00000006
@00003040: $ 3 <= 00000015
@00003044: $ 2 <= 00000007
@00003040: $ 3 <= 0000001c
@00003044: $ 2 <= 00000008
@00003040: $ 3 <= 00000024
@00003044: $ 2 <= 00000009
@00003040: $ 3 <= 0000002d
@00003044: $ 2 <= 0000000a
@00003040: $ 3 <= 00000037
@00003044: $ 2 <= 0000000b
@00003040: $ 3 <= 00000042
@00003044: $ 2 <= 0000000c
@00003040: $ 3 <= 0000004e
@00003044: $ 2 <= 0000000d
@00003040: $ 3 <= 0000005b
@00003044: $ 2 <= 0000000e
@00003040: $ 3 <= 00000069
@00003044: $ 2 <= 0000000f
@00003040: $ 3 <= 00000078
@00003044: $ 2 <= 00000010
@00003040: $ 3 <= 00000088
@00003044: $ 2 <= 00000011
@00003040: $ 3 <= 00000099
@00003044: $ 2 <= 00000012
@00003040: $ 3 <= 000000ab
@00003044: $ 2 <= 00000013
@00003040: $ 3 <= 000000be
@00003044: $ 2 <= 00000014
@00003040: $ 3 <= 000000d2
@00003044: $ 2 <= 00000015
@00003040: $ 3 <= 000000e7
@00003044: $ 2 <= 00000016
@00003040: $ 3 <= 000000fd
@00003044: $ 2 <= 00000017
@00003040: $ 3 <= 00000114
@00003044: $ 2 <= 00000018
@00003040: $ 3 <= 0000012c
@00003044: $ 2 <= 00000019
@00003040: $ 3 <= 00000145
@00003044: $ 2 <= 0000001a
@00003040: $ 3 <= 0000015f
@00003044: $ 2 <= 0000001b
@00003040: $ 3 <= 0000017a
@00003044: $ 2 <= 0000001c
@00003040: $ 3 <= 00000196
@00003044: $ 2 <= 0000001d
@00003040: $ 3 <= 000001b3
@00003044: $ 2 <= 0000001e
@00003040: $ 3 <= 000001d1
@00003044: $ 2 <= 0000001f
@00003040: $ 3 <= 000001f0
@00003044: $ 2 <= 00000020
@00003040: $ 3 <= 00000210
@00003044: $ 2 <= 00000021
@00003040: $ 3 <= 00000231
@00003044: $ 2 <= 00000022
@00003040: $ 3 <= 00000253
@00003044: $ 2 <= 00000023
@00003040: $ 3 <= 00000276
@00003044: $ 2 <= 00000024
@00003040: $ 3 <= 0000029a
@00003044: $ 2 <= 00000025
